wallet_id,txn_count,total_usd,repays,borrows,liquidates,unique_assets,active_days,txns_per_day,borrow_to_repay,avg_txn_value_usd,liq_rate,repay_rate,wallet_lifetime_days,usd_pct,txn_pct,repay_pct,liq_pct,activity_pct,final_score,cluster,ml_score,blended_score
0x9b3611abceb1550b7ff2ebd46cf6ae4319130014,4,20673.08068874995,0,0,0,2,74,0.05405405405405406,0.0,5168.270172187487,0.0,0.0,74,0.8751112429546128,0.6532927914565411,0.38560516167309405,0.500037080984871,0.638003065361416,55.96,0,0.0,33.576
0x9b430e71576c80ca852bc90a5ea672e9845aa060,4,10651.976139923097,1,1,0,2,46,0.08695652173913043,1.0,2662.9940349807744,0.0,1.0,46,0.8344704835360427,0.6532927914565411,0.8105532482942747,0.500037080984871,0.7661055077622861,71.55,0,0.0,42.93
0x9b43f18a251f85d168ccbc25724818070795cfa6,7,264.596417023914,3,1,0,2,144,0.04861111111111111,0.3333333333333333,37.799488146273426,0.0,3.0,144,0.5065262533372886,0.7905295164639573,0.9068525660041531,0.500037080984871,0.7346361119351329,67.72,0,0.0,40.632
0x9b49d6295a1e9c16bf57044b80cc35fedf010c40,39,73838.75414278843,5,0,0,2,6,6.5,0.0,1893.3013882766263,0.0,5.0,6,0.9342924948086622,0.9677024621773954,0.9392613467813705,0.500037080984871,0.9470854345891427,93.58,3,33.33333333333333,69.48133333333332
0x9b4c75ce8d7006620df39e8757ade75d6434a6fe,43,1431115.276875348,18,6,0,3,153,0.28104575163398693,0.3333333333333333,33281.75062500809,0.0,3.0,153,0.9927321269652922,0.9714105606644913,0.9818673983981014,0.500037080984871,0.982003362009295,97.83,3,33.33333333333333,72.03133333333332
0x9b4e28020b94b28f9f09ede87f588e89c283cffd,124,301751.50334966433,59,15,0,6,292,0.4246575342465753,0.2542372881355932,2433.4798657230995,0.0,3.933333333333333,292,0.9748590922574903,0.9918421833283892,0.994734500148324,0.500037080984871,0.9871452585780678,98.45,3,33.33333333333333,72.40333333333334
0x9b4e63f5e35da20a1cc16b39764e69d958ceed59,1,5105.405522520712,0,0,0,1,1,1.0,0.0,5105.405522520712,0.0,0.0,1,0.7798872738059923,0.14869474933254226,0.38560516167309405,0.500037080984871,0.43806239493720955,31.63,0,0.0,18.977999999999998
0x9b4fe6e006023ba449d6db9bc33c2732428a1f28,5,90.18308303207812,1,1,0,2,1,5.0,1.0,18.036616606415624,0.0,1.0,1,0.386532186294868,0.715477603085138,0.8105532482942747,0.500037080984871,0.6375210125580936,55.9,3,33.33333333333333,46.873333333333335
0x9b520fa2e47e024aadb2bad83cf9a50ded982583,3,700.3217020571076,0,0,0,1,7,0.42857142857142855,0.0,233.4405673523692,0.0,0.0,7,0.6039009196084248,0.562926431326016,0.38560516167309405,0.500037080984871,0.5174775042025116,41.29,0,0.0,24.773999999999997
0x9b52b881e049f5b05d6c0c247c6f4a90e14af1c9,1,4804.087911443585,0,0,0,1,1,1.0,0.0,4804.087911443585,0.0,0.0,1,0.7731385345594779,0.14869474933254226,0.38560516167309405,0.500037080984871,0.4358128151883714,31.35,0,0.0,18.81
0x9b596cd09ec01b79f6866513d4e9aa6000fc6452,2,25.671043184148022,0,0,0,1,3,0.6666666666666666,0.0,12.835521592074011,0.0,0.0,3,0.265054879857609,0.4037006822901216,0.38560516167309405,0.500037080984871,0.35145357460694154,21.09,0,0.0,12.654
0x9b5cf6637d71a82758bcaaa2ae5b6efd349c2a19,4,2531.3377869799915,1,1,0,2,24,0.16666666666666666,1.0,632.8344467449979,0.0,1.0,24,0.7249332542272323,0.6532927914565411,0.8105532482942747,0.500037080984871,0.7295930979926827,67.11,0,0.0,40.266
0x9b659d5631526d6cb599da65dd0e59a923303d6c,11,53.8818494235442,0,0,0,2,96,0.11458333333333333,0.0,4.8983499475949275,0.0,0.0,96,0.34084841293384754,0.869734500148324,0.38560516167309405,0.500037080984871,0.5320626915850885,43.07,0,0.0,25.842
0x9b65b5b8f976066e17283540b54d4de43e45c6b2,1,0.5,0,0,0,1,1,1.0,0.0,0.5,0.0,0.0,1,0.04301394245031148,0.14869474933254226,0.38560516167309405,0.500037080984871,0.1924379511519826,1.73,0,0.0,1.038
0x9b66137da669f2e6277832a3d2c91edfe963e64c,15,696069.7157288285,1,4,0,3,188,0.0797872340425532,4.0,46404.64771525523,0.0,0.25,188,0.9863541975674874,0.9062592702462178,0.8105532482942747,0.500037080984871,0.9010555720359933,87.98,3,33.33333333333333,66.12133333333334
0x9b67bbf26fff9b8c446b344959f3eb43168c2734,2,12.019336108966728,0,0,0,1,79,0.02531645569620253,0.0,6.009668054483364,0.0,0.0,79,0.17947196677543756,0.4037006822901216,0.38560516167309405,0.500037080984871,0.32292593691288446,17.62,0,0.0,10.572000000000001
0x9b68c42f9e8291d4731800c35f7ed45fdd50260b,3,10578.447015635084,0,0,0,1,58,0.05172413793103448,0.0,3526.1490052116947,0.0,0.0,58,0.8340255117175912,0.562926431326016,0.38560516167309405,0.500037080984871,0.5941857015722337,50.63,0,0.0,30.378
0x9b69e2ffd6fde616400b873cf782090bf40a7e6b,2,23.785376199295698,0,0,0,1,13,0.15384615384615385,0.0,11.892688099647849,0.0,0.0,13,0.2580836547018689,0.4037006822901216,0.38560516167309405,0.500037080984871,0.34912983288836147,20.8,0,0.0,12.48
0x9b6a90997514d05ae15b06262d9d60240c67b7ad,5,43384.941898616016,0,0,0,1,96,0.052083333333333336,0.0,8676.988379723203,0.0,0.0,96,0.9124888757045387,0.715477603085138,0.38560516167309405,0.500037080984871,0.6711905468209235,60.0,0,0.0,36.0
0x9b6cdbbba2ff3e2e4650958aa18c3c8893e427c5,8,1350.1894415699599,0,1,0,2,29,0.27586206896551724,1.0,168.77368019624498,0.0,0.0,29,0.6676060516167309,0.8178952832987244,0.38560516167309405,0.500037080984871,0.6237021655295164,54.22,0,0.0,32.532
0x9b770e4300084059fafbca51adf7a3177d30723c,21,419.65529743910366,6,10,0,4,2,10.5,1.6666666666666667,19.98358559233827,0.0,0.6,2,0.5519875407890834,0.9374443785226936,0.9482349451201424,0.500037080984871,0.8125556214773065,77.21,3,33.33333333333333,59.65933333333332
0x9b77c35f1f7efc75f9c0dbe5f5ffd082b7cdda44,3,30219.564980490966,0,0,0,2,12,0.25,0.0,10073.188326830323,0.0,0.0,12,0.896321566300801,0.562926431326016,0.38560516167309405,0.500037080984871,0.6149510530999703,53.16,0,0.0,31.895999999999997
